iter	Logloss
0	0.5803714747
1	0.5254011047
2	0.4940312267
3	0.4819398874
4	0.4695943205
5	0.4634718343
6	0.4597574097
7	0.4570143284
8	0.4550735971
9	0.4547638311
10	0.4515390899
11	0.4505579656
12	0.4503439274
13	0.4489652645
14	0.4488707051
15	0.4487248826
16	0.4484942413
17	0.4484146959
18	0.4481682656
19	0.4480238242
20	0.447187661
21	0.4469884333
22	0.4467621721
23	0.4466249938
24	0.4464160098
25	0.4462464029
26	0.4460739259
27	0.4454128728
28	0.4452964108
29	0.4451087881
30	0.4449721331
31	0.4447630166
32	0.4444971029
33	0.4443604861
34	0.4439444744
35	0.4436801837
36	0.4435568386
37	0.4433705208
38	0.4432069071
39	0.4430795534
40	0.4429309588
41	0.4428497133
42	0.4427183393
43	0.4425816123
44	0.4424516644
45	0.4423616423
46	0.4422334723
47	0.4421270226
48	0.4419937619
49	0.4418787425
50	0.441625256
51	0.4415041316
52	0.4413883608
53	0.4411967121
54	0.4410900471
55	0.4409195914
56	0.4407769949
57	0.4406334418
58	0.4405202279
59	0.4404246766
60	0.4402588096
61	0.440085793
62	0.4399132689
63	0.4397653827
64	0.4394050721
65	0.4392368977
66	0.43914193
67	0.4390378614
68	0.4389211121
69	0.4387633257
70	0.4386326839
71	0.4385219725
72	0.4382770179
73	0.4381437096
74	0.4380043023
75	0.4374846785
76	0.4373906144
77	0.4372582725
78	0.4371434965
79	0.437033007
80	0.4368578317
81	0.4367767697
82	0.4366349549
83	0.436242909
84	0.4360820844
85	0.4359672676
86	0.4358444567
87	0.4357112136
88	0.4355817045
89	0.4354976821
90	0.4353850042
91	0.4352861741
92	0.4351661885
93	0.4350059861
94	0.4348920406
95	0.4347855887
96	0.434607105
97	0.4344683223
98	0.4343762963
99	0.4342204396
