iter	Passed	Remaining
0	5	831
1	10	768
2	15	745
3	20	730
4	24	705
5	28	681
6	32	668
7	37	664
8	41	650
9	45	643
10	50	642
11	55	633
12	60	635
13	64	624
14	68	618
15	74	620
16	79	618
17	83	613
18	88	611
19	93	604
20	98	602
21	102	595
22	106	590
23	111	583
24	115	578
25	119	570
26	123	563
27	128	558
28	132	553
29	137	548
30	141	541
31	145	537
32	150	532
33	154	527
34	158	521
35	162	515
36	167	510
37	171	505
38	175	500
39	180	496
40	185	492
41	194	501
42	202	504
43	211	509
44	221	517
45	227	514
46	234	513
47	239	508
48	244	503
49	249	498
50	253	492
51	258	486
52	262	481
53	267	474
54	271	468
55	275	461
56	279	456
57	283	449
58	287	443
59	291	437
60	295	430
61	299	424
62	303	418
63	307	412
64	311	406
65	315	401
66	319	395
67	323	389
68	327	384
69	331	378
70	335	373
71	339	367
72	343	362
73	347	357
74	352	352
75	356	346
76	360	341
77	364	336
78	368	331
79	372	325
80	376	320
81	380	315
82	385	311
83	389	306
84	393	301
85	397	296
86	402	291
87	406	286
88	410	281
89	414	276
90	418	271
91	422	266
92	426	261
93	431	256
94	435	251
95	439	247
96	443	242
97	447	237
98	451	232
99	456	228
100	460	223
101	464	218
102	468	214
103	473	209
104	477	204
105	481	199
106	485	195
107	490	190
108	494	186
109	498	181
110	502	176
111	507	172
112	511	167
113	515	162
114	519	158
115	523	153
116	528	149
117	532	144
118	536	139
119	540	135
120	544	130
121	548	125
122	552	121
123	557	116
124	561	112
125	565	107
126	570	103
127	574	98
128	578	94
129	582	89
130	586	85
131	590	80
132	594	76
133	599	71
134	603	67
135	607	62
136	612	58
137	616	53
138	620	49
139	625	44
140	629	40
141	633	35
142	637	31
143	641	26
144	645	22
145	649	17
146	654	13
147	658	8
148	662	4
149	666	0
